0.000000 0.000000 0.000000  0.050986   0.058821   0.000000
0.000000 0.000000 0.050518  0.050986   0.058821   0.000000
0.000000 0.000000 0.101036  0.050986   0.058821   0.000000
0.000000 0.000000 0.151554  0.050986   0.058821   0.000000
0.000000 0.000000 0.202073  0.050986   0.058821   0.000000
0.000000 0.000000 0.252591  0.050986   0.058821   0.000000
0.000000 0.000000 0.303109  0.050986   0.058821   0.000000
0.000000 0.000000 0.353627  0.050986   0.058821   0.000000
0.000000 0.000000 0.404145  0.050986   0.058821   0.000000
0.000000 0.000000 0.454663  0.050986   0.058821   0.000000
0.000000 0.000000 0.505181  0.050986   0.058821   0.000000
0.000000 0.000000 0.555700  0.050986   0.058821   0.000000
0.000000 0.000000 0.606218  0.050986   0.058821   0.000000
0.000000 0.000000 0.656736  0.050986   0.058821   0.000000
0.000000 0.000000 0.707254  0.050986   0.058821   0.000000
0.000000 0.000000 0.757772  0.050986   0.058821   0.000000
0.000000 0.050518 0.000000  0.045189   0.157149   0.000000
0.000000 0.050518 0.050518  0.045189   0.157149   0.000000
0.000000 0.050518 0.101036  0.045189   0.157149   0.000000
0.000000 0.050518 0.151554  0.045189   0.157149   0.000000
0.000000 0.050518 0.202073  0.045189   0.157149   0.000000
0.000000 0.050518 0.252591  0.045189   0.157149   0.000000
0.000000 0.050518 0.303109  0.045189   0.157149   0.000000
0.000000 0.050518 0.353627  0.045189   0.157149   0.000000
0.000000 0.050518 0.404145  0.045189   0.157149   0.000000
0.000000 0.050518 0.454663  0.045189   0.157149   0.000000
0.000000 0.050518 0.505181  0.045189   0.157149   0.000000
0.000000 0.050518 0.555700  0.045189   0.157149   0.000000
0.000000 0.050518 0.606218  0.045189   0.157149   0.000000
0.000000 0.050518 0.656736  0.045189   0.157149   0.000000
0.000000 0.050518 0.707254  0.045189   0.157149   0.000000
0.000000 0.050518 0.757772  0.045189   0.157149   0.000000
0.000000 0.101036 0.000000  0.046500   0.270627   0.000000
0.000000 0.101036 0.050518  0.046500   0.270627   0.000000
0.000000 0.101036 0.101036  0.046500   0.270627   0.000000
0.000000 0.101036 0.151554  0.046500   0.270627   0.000000
0.000000 0.101036 0.202073  0.046500   0.270627   0.000000
0.000000 0.101036 0.252591  0.046500   0.270627   0.000000
0.000000 0.101036 0.303109  0.046500   0.270627   0.000000
0.000000 0.101036 0.353627  0.046500   0.270627   0.000000
0.000000 0.101036 0.404145  0.046500   0.270627   0.000000
0.000000 0.101036 0.454663  0.046500   0.270627   0.000000
0.000000 0.101036 0.505181  0.046500   0.270627   0.000000
0.000000 0.101036 0.555700  0.046500   0.270627   0.000000
0.000000 0.101036 0.606218  0.046500   0.270627   0.000000
0.000000 0.101036 0.656736  0.046500   0.270627   0.000000
0.000000 0.101036 0.707254  0.046500   0.270627   0.000000
0.000000 0.101036 0.757772  0.046500   0.270627   0.000000
